BOARD;CHANNEL;TIMETAG;ENERGY;CALIB_ENERGY;ENERGYSHORT;FLAGS
0;0;14855938544000;89;62.4015;15;0x0
0;0;14902690944000;411;288.169;36;0x0
0;0;14973137016000;236;165.469;34;0x0
0;1;14549785228000;569;602.856;61;0x0
0;1;14646398960000;404;428.038;41;0x0
0;1;14686025536000;623;660.069;63;0x0
0;1;14718917468000;402;425.919;44;0x0
0;1;14722588144000;393;416.384;46;0x0
0;1;14786190200000;501;530.81;62;0x0
0;1;14855938524000;532;563.654;55;0x0
0;1;14902690948000;202;214.019;25;0x0
0;1;14973137032000;103;109.129;18;0x0
0;1;15034942684000;375;397.313;47;0x0
0;0;15034942692000;132;92.5505;19;0x0
0;0;15066669368000;249;174.584;31;0x0
0;0;15106714140000;154;107.976;22;0x0
0;0;15109126112000;173;121.297;22;0x0
0;0;15123902248000;488;342.156;48;0x0
0;0;15171522432000;77;53.9878;13;0x0
0;0;15270812912000;214;150.044;25;0x0
0;0;15283481288000;265;185.802;28;0x0
0;0;15321756256000;150;105.171;20;0x0
0;0;15352863852000;78;54.6889;13;0x0
0;1;15066669368000;206;218.257;27;0x0
0;1;15106714132000;565;598.618;61;0x0
0;1;15109126096000;593;628.284;52;0x0
0;1;15123902252000;206;218.257;24;0x0
0;1;15171522408000;522;553.059;53;0x0
0;1;15270812916000;204;216.138;29;0x0
0;1;15283481240000;109;115.486;39;0x0
0;1;15321756244000;613;649.474;66;0x0
0;1;15352863832000;525;556.238;53;0x0
0;1;15399449508000;104;110.188;24;0x0
0;0;15399449476000;862;604.383;64;0x0
0;0;15439171784000;40;28.0456;18;0x0
0;0;15445427580000;443;310.605;44;0x0
0;0;15461830088000;61;42.7695;12;0x0
0;0;15483258628000;1852;1298.51;128;0x0
0;0;15543066880000;128;89.7459;17;0x0
0;0;15652696048000;167;117.09;21;0x0
0;0;15683503652000;405;283.962;37;0x0
0;0;15765304424000;342;239.79;33;0x0
0;0;15914975576000;176;123.401;21;0x0
0;1;15439171716000;155;164.223;26;0x0
0;1;15445427584000;240;254.28;32;0x0
0;1;15461830072000;408;432.276;46;0x0
0;1;15483258632000;480;508.56;45;0x0
0;1;15543066868000;592;627.224;52;0x0
0;1;15652696040000;538;570.011;54;0x0
0;1;15683503656000;338;358.111;44;0x0
0;1;15765304428000;250;264.875;29;0x0
0;1;15914975572000;512;542.464;43;0x0
0;1;16034375232000;247;261.697;32;0x0
0;0;16034375220000;1552;1088.17;123;0x0
0;0;16034376016000;2;1.40228;11;0x0
0;0;16047764652000;241;168.975;28;0x0
0;0;16059870852000;287;201.227;31;0x0
0;0;16215837332000;54;37.8616;10;0x0
0;0;16221636960000;136;95.355;17;0x0
0;0;16246982016000;388;272.042;39;0x0
0;0;16248095080000;96;67.3094;15;0x0
0;0;16310748308000;547;383.524;46;0x0
0;0;16409785768000;137;96.0562;18;0x0
0;1;16034376028000;12;12.714;9;0x0
0;1;16047764652000;371;393.075;46;0x0
0;1;16059870860000;173;183.294;25;0x0
0;1;16215837304000;343;363.409;35;0x0
0;1;16221636952000;420;444.99;38;0x0
0;1;16246982040000;123;130.319;24;0x0
0;1;16248095076000;141;149.39;21;0x0
0;1;16310748332000;89;94.2955;18;0x0
0;1;16409785768000;320;339.04;39;0x0
0;1;16412982720000;540;572.13;57;0x0
0;0;16412982728000;145;101.665;18;0x0
0;0;16427665288000;148;103.769;18;0x0
0;0;16598066284000;54;37.8616;12;0x0
0;0;16607556068000;226;158.458;23;0x0
0;0;16643454784000;89;62.4015;15;0x0
0;0;16708747768000;178;124.803;24;0x0
0;0;16737164544000;487;341.455;47;0x0
0;0;16828089664000;177;124.102;19;0x0
0;0;16862635872000;340;238.388;36;0x0
0;0;16911108404000;98;68.7117;16;0x0
0;1;16427665324000;86;91.117;24;0x0
0;1;16598066256000;565;598.618;57;0x0
0;1;16607556064000;527;558.357;56;0x0
0;1;16643454772000;564;597.558;55;0x0
0;1;16708747772000;180;190.71;22;0x0
0;1;16737164568000;146;154.687;20;0x0
0;1;16828089692000;85;90.0575;21;0x0
0;1;16862635888000;197;208.722;34;0x0
0;1;16911108388000;562;595.439;59;0x0
0;1;16950301016000;595;630.403;62;0x0
0;0;16950301028000;178;124.803;23;0x0
0;0;17020218220000;304;213.147;32;0x0
0;0;17039909696000;48;33.6547;16;0x0
0;0;17095089520000;59;41.3673;12;0x0
0;0;17123458944000;87;60.9992;14;0x0
0;0;17274899412000;126;88.3436;18;0x2
0;0;17486269084000;122;85.5391;13;0x0
0;0;17509944000000;86;60.298;13;0x0
0;0;17615994012000;99;69.4129;18;0x0
0;0;17617537196000;201;140.929;26;0x0
0;1;17020218228000;170;180.115;24;0x0
0;1;17039909644000;204;216.138;27;0x0
0;1;17095089500000;364;385.658;44;0x0
0;1;17123458932000;372;394.134;38;0x0
0;1;17274899404000;565;598.618;62;0x2
0;1;17486269072000;592;627.224;56;0x0
0;1;17509943984000;437;463.002;39;0x0
0;1;17615993996000;483;511.739;46;0x0
0;1;17617537192000;328;347.516;36;0x0
0;1;17639934516000;621;657.95;65;0x0
0;0;17639934528000;82;57.4935;13;0x0
0;0;17695047364000;69;48.3787;10;0x0
0;0;17760827384000;114;79.93;17;0x0
0;0;17761344404000;84;58.8958;14;0x0
0;0;17795180232000;139;97.4585;20;0x0
0;0;17957189284000;183;128.309;25;0x0
0;0;17964238992000;206;144.435;29;0x0
0;0;18227946748000;1517;1063.63;103;0x0
0;0;18239481156000;907;635.934;81;0x0
0;0;18241088568000;59;41.3673;12;0x0
0;1;17695047352000;594;629.343;62;0x0
0;1;17760827376000;261;276.53;33;0x0
0;1;17761344388000;535;566.833;48;0x0
0;1;17795180224000;537;568.952;55;0x0
0;1;17957189276000;488;517.036;56;0x0
0;1;17964238984000;330;349.635;35;0x0
0;1;18227946760000;251;265.935;36;0x0
0;1;18241088540000;365;386.718;38;0x0
0;1;18296523032000;627;664.307;56;0x0
0;1;18385720636000;509;539.286;55;0x0
0;0;18296523052000;89;62.4015;13;0x0
0;0;18385720648000;150;105.171;21;0x0
0;0;18599572024000;1476;1034.88;126;0x0
0;0;18608955536000;54;37.8616;13;0x0
0;0;18649545784000;55;38.5627;18;0x0
0;0;18705752304000;189;132.515;22;0x0
0;0;18722042256000;56;39.2638;11;0x0
0;0;18836774648000;102;71.5163;16;0x0
0;0;18847231536000;95;66.6083;13;0x0
0;0;18868279572000;254;178.09;31;0x0
0;1;18599572032000;189;200.246;24;0x0
0;1;18608955508000;628;665.366;59;0x0
0;1;18649545740000;174;184.353;25;0x0
0;1;18705752300000;194;205.543;23;0x0
0;1;18722042228000;1969;2086.16;184;0x0
0;1;18836774632000;593;628.284;64;0x0
0;1;18847231548000;145;153.628;24;0x0
0;1;18868279568000;322;341.159;39;0x0
0;1;19011568120000;369;390.956;48;0x0
0;1;19061329232000;454;481.013;42;0x0
0;0;19011568172000;40;28.0456;17;0x0
0;0;19061329240000;244;171.078;27;0x0
0;0;19070078088000;108;75.7231;18;0x0
0;0;19085926356000;74;51.8844;12;0x0
0;0;19126519056000;329;230.675;38;0x0
0;0;19126519592000;45;31.5513;20;0x0
0;0;19175829272000;107;75.022;16;0x0
0;0;19187875880000;84;58.8958;14;0x0
0;0;19207745152000;79;55.3901;11;0x0
0;0;19320492140000;173;121.297;20;0x0
0;1;19070078080000;310;328.445;32;0x0
0;1;19085926332000;371;393.075;38;0x0
0;1;19126519052000;495;524.453;50;0x0
0;1;19126519576000;80;84.76;32;0x0
0;1;19175829264000;582;616.629;62;0x0
0;1;19187875860000;605;640.998;53;0x0
0;1;19207745136000;632;669.604;57;0x0
0;1;19320492148000;152;161.044;24;0x0
0;1;19338275844000;573;607.094;62;0x0
0;1;19373553124000;441;467.24;45;0x0
0;0;19338275900000;35;24.5399;14;0x0
0;0;19373553124000;301;211.043;29;0x0
0;0;19386140784000;94;65.9072;14;0x0
0;0;19420696584000;668;468.362;56;0x0
0;0;19439257520000;136;95.355;19;0x0
0;0;19448543680000;112;78.5277;14;0x0
0;0;19468770968000;41;28.7467;20;0x0
0;0;19478371752000;230;161.262;26;0x0
0;0;19609190988000;123;86.2402;19;0x0
0;0;19738225984000;489;342.857;50;0x0
0;1;19386140772000;619;655.831;60;0x0
0;1;19420696592000;219;232.031;27;0x0
0;1;19439257512000;521;552;56;0x0
0;1;19448543668000;556;589.082;50;0x0
0;1;19468770896000;264;279.708;26;0x0
0;1;19478371760000;197;208.722;29;0x0
0;1;19609190976000;574;608.153;63;0x0
0;1;19738225992000;176;186.472;28;0x0
0;1;19759051156000;225;238.388;31;0x0
0;1;19760317196000;561;594.38;58;0x0
