# board	channel	time[ps]	E	E_calib	E_short	Flag	board	channel	time[ps]	E	E_calib	E_short	Flag
0.00	1.00	7977681108000.00	102.00	108.07	22.00	nan	0.00	0.00	7977681120000.00	48.00	33.65	15.00	nan
0.00	0.00	7978610484000.00	417.00	292.38	40.00	nan	0.00	1.00	7978610488000.00	283.00	299.84	32.00	nan
0.00	1.00	8094071676000.00	586.00	620.87	59.00	nan	0.00	0.00	8094071684000.00	132.00	92.55	15.00	nan
0.00	1.00	8095361544000.00	506.00	536.11	49.00	nan	0.00	0.00	8095361576000.00	70.00	49.08	14.00	nan
0.00	1.00	8135023580000.00	122.00	129.26	20.00	nan	0.00	0.00	8135023584000.00	41.00	28.75	9.00	nan
0.00	0.00	8171388500000.00	109.00	76.42	16.00	nan	0.00	1.00	8171388508000.00	128.00	135.62	21.00	nan
0.00	0.00	8275799280000.00	51.00	35.76	15.00	nan	0.00	1.00	8275799308000.00	426.00	451.35	47.00	nan
0.00	1.00	8432360036000.00	567.00	600.74	57.00	nan	0.00	0.00	8432360044000.00	127.00	89.04	16.00	nan
0.00	1.00	8533579944000.00	557.00	590.14	55.00	nan	0.00	0.00	8533579960000.00	81.00	56.79	16.00	nan
0.00	0.00	8734067588000.00	351.00	246.10	37.00	nan	0.00	1.00	8734067604000.00	121.00	128.20	20.00	nan
0.00	0.00	8755072204000.00	690.00	483.79	65.00	nan	0.00	1.00	8755072244000.00	65.00	68.87	17.00	nan
0.00	1.00	8791085656000.00	420.00	444.99	44.00	nan	0.00	0.00	8791085660000.00	201.00	140.93	20.00	nan
0.00	1.00	8857278828000.00	543.00	575.31	61.00	nan	0.00	0.00	8857278840000.00	115.00	80.63	17.00	nan
0.00	1.00	8935618660000.00	542.00	574.25	51.00	nan	0.00	0.00	8935618672000.00	160.00	112.18	20.00	nan
0.00	0.00	8960579132000.00	140.00	98.16	21.00	nan	0.00	1.00	8960579156000.00	84.00	89.00	21.00	nan
0.00	0.00	8984076016000.00	212.00	148.64	25.00	nan	0.00	1.00	8984076020000.00	195.00	206.60	26.00	nan
0.00	1.00	9049738692000.00	186.00	197.07	24.00	nan	0.00	0.00	9049738712000.00	77.00	53.99	12.00	nan
0.00	0.00	9076939368000.00	496.00	347.76	43.00	nan	0.00	1.00	9076939396000.00	118.00	125.02	22.00	nan
0.00	1.00	9166766564000.00	550.00	582.73	57.00	nan	0.00	0.00	9166766576000.00	121.00	84.84	19.00	nan
0.00	1.00	9707295340000.00	321.00	340.10	36.00	nan	0.00	0.00	9707295348000.00	141.00	98.86	18.00	nan
0.00	1.00	9764196088000.00	600.00	635.70	57.00	nan	0.00	0.00	9764196100000.00	144.00	100.96	18.00	nan
0.00	1.00	9786767636000.00	542.00	574.25	56.00	nan	0.00	0.00	9786767644000.00	171.00	119.89	26.00	nan
0.00	1.00	9824488092000.00	573.00	607.09	58.00	nan	0.00	0.00	9824488116000.00	69.00	48.38	17.00	nan
0.00	1.00	9846495248000.00	1024.00	1084.93	87.00	nan	0.00	0.00	9846495264000.00	208.00	145.84	23.00	nan
0.00	0.00	9869249856000.00	399.00	279.75	42.00	nan	0.00	1.00	9869249856000.00	413.00	437.57	43.00	nan
0.00	0.00	9970100632000.00	653.00	457.84	60.00	nan	0.00	1.00	9970100636000.00	215.00	227.79	25.00	nan
0.00	0.00	9992475736000.00	360.00	252.41	37.00	nan	0.00	1.00	9992475740000.00	192.00	203.42	29.00	nan
0.00	1.00	10030318756000.00	240.00	254.28	35.00	nan	0.00	0.00	10030318760000.00	73.00	51.18	14.00	nan
0.00	1.00	10049038300000.00	569.00	602.86	59.00	nan	0.00	0.00	10049038316000.00	98.00	68.71	15.00	nan
0.00	1.00	10167636220000.00	527.00	558.36	47.00	nan	0.00	0.00	10167636228000.00	183.00	128.31	27.00	nan
0.00	0.00	10182787032000.00	260.00	182.30	27.00	nan	0.00	1.00	10182787032000.00	277.00	293.48	35.00	nan
0.00	0.00	10206687980000.00	274.00	192.11	32.00	nan	0.00	1.00	10206687980000.00	333.00	352.81	34.00	nan
0.00	1.00	10265411376000.00	354.00	375.06	44.00	nan	0.00	0.00	10265411376000.00	211.00	147.94	22.00	nan
0.00	1.00	10307714924000.00	652.00	690.79	69.00	nan	0.00	0.00	10307714948000.00	59.00	41.37	10.00	nan
0.00	0.00	10553777596000.00	57.00	39.97	11.00	nan	0.00	1.00	10553777664000.00	672.00	711.98	62.00	nan
0.00	1.00	10602159400000.00	583.00	617.69	67.00	nan	0.00	0.00	10602159416000.00	78.00	54.69	14.00	nan
0.00	1.00	10613858296000.00	149.00	157.87	24.00	nan	0.00	0.00	10613858300000.00	79.00	55.39	15.00	nan
0.00	1.00	10738165164000.00	555.00	588.02	66.00	nan	0.00	0.00	10738165168000.00	107.00	75.02	15.00	nan
0.00	0.00	10938994508000.00	258.00	180.89	31.00	nan	0.00	1.00	10938994548000.00	60.00	63.57	19.00	nan
0.00	1.00	10960443864000.00	344.00	364.47	38.00	nan	0.00	0.00	10960443884000.00	72.00	50.48	12.00	nan
0.00	0.00	10986599512000.00	254.00	178.09	22.00	nan	0.00	1.00	10986599512000.00	252.00	266.99	30.00	nan
0.00	1.00	10999090932000.00	374.00	396.25	45.00	nan	0.00	0.00	10999090980000.00	37.00	25.94	11.00	nan
0.00	0.00	11028078960000.00	255.00	178.79	28.00	nan	0.00	1.00	11028078964000.00	225.00	238.39	33.00	nan
0.00	0.00	11136946940000.00	208.00	145.84	22.00	nan	0.00	1.00	11136946940000.00	354.00	375.06	40.00	nan
0.00	1.00	11168281648000.00	294.00	311.49	34.00	nan	0.00	0.00	11168281656000.00	141.00	98.86	16.00	nan
0.00	0.00	11342710292000.00	143.00	100.26	22.00	nan	0.00	1.00	11342710304000.00	95.00	100.65	18.00	nan
0.00	1.00	11371602112000.00	256.00	271.23	27.00	nan	0.00	0.00	11371602152000.00	34.00	23.84	9.00	nan
0.00	1.00	11413750144000.00	284.00	300.90	31.00	nan	0.00	0.00	11413750152000.00	112.00	78.53	16.00	nan
0.00	0.00	11424800992000.00	277.00	194.22	29.00	nan	0.00	1.00	11424800996000.00	195.00	206.60	28.00	nan
0.00	1.00	11446409764000.00	592.00	627.22	59.00	nan	0.00	0.00	11446409784000.00	101.00	70.82	20.00	nan
0.00	1.00	11562826704000.00	417.00	441.81	52.00	nan	0.00	0.00	11562826716000.00	91.00	63.80	16.00	nan
0.00	0.00	11636142200000.00	222.00	155.65	28.00	nan	0.00	1.00	11636142208000.00	107.00	113.37	19.00	nan
0.00	0.00	11970562100000.00	494.00	346.36	43.00	nan	0.00	1.00	11970562112000.00	123.00	130.32	19.00	nan
0.00	1.00	11977068392000.00	573.00	607.09	53.00	nan	0.00	0.00	11977068416000.00	58.00	40.67	11.00	nan
0.00	1.00	12051514836000.00	542.00	574.25	58.00	nan	0.00	0.00	12051514844000.00	119.00	83.44	16.00	nan
0.00	0.00	12069751164000.00	278.00	194.92	32.00	nan	0.00	1.00	12069751172000.00	180.00	190.71	26.00	nan
0.00	1.00	12109420404000.00	530.00	561.53	52.00	nan	0.00	0.00	12109420408000.00	177.00	124.10	26.00	nan
0.00	1.00	12152902544000.00	661.00	700.33	73.00	nan	0.00	0.00	12152902580000.00	57.00	39.97	12.00	nan
0.00	1.00	12269760148000.00	449.00	475.72	53.00	nan	0.00	0.00	12269760148000.00	384.00	269.24	41.00	nan
0.00	1.00	12269760672000.00	82.00	86.88	29.00	nan	0.00	0.00	12269760672000.00	42.00	29.45	16.00	nan
0.00	1.00	12277148816000.00	220.00	233.09	26.00	nan	0.00	0.00	12277148836000.00	74.00	51.88	13.00	nan
0.00	1.00	12355968680000.00	617.00	653.71	68.00	nan	0.00	0.00	12355968688000.00	110.00	77.13	17.00	nan
0.00	0.00	12372246604000.00	76.00	53.29	28.00	nan	0.00	1.00	12372246692000.00	286.00	303.02	28.00	nan
0.00	1.00	12505274472000.00	593.00	628.28	54.00	nan	0.00	0.00	12505274508000.00	61.00	42.77	15.00	nan
0.00	1.00	12696772224000.00	282.00	298.78	32.00	nan	0.00	0.00	12696772244000.00	93.00	65.21	15.00	nan
0.00	0.00	12713922616000.00	330.00	231.38	39.00	nan	0.00	1.00	12713922620000.00	138.00	146.21	19.00	nan
0.00	1.00	12802212488000.00	619.00	655.83	51.00	nan	0.00	0.00	12802212508000.00	50.00	35.06	12.00	nan
0.00	0.00	12827982380000.00	213.00	149.34	25.00	nan	0.00	1.00	12827982384000.00	194.00	205.54	30.00	nan
0.00	1.00	12874542320000.00	469.00	496.91	49.00	nan	0.00	0.00	12874542332000.00	56.00	39.26	12.00	nan
0.00	1.00	12921566372000.00	187.00	198.13	21.00	nan	0.00	0.00	12921566372000.00	185.00	129.71	24.00	nan
